lemma,unique_candidates,pos,lemma_freq,base_freq
Wirtschaft,Wirt,NN,51753,5054
Wirtschaft,Wirte,NN,51753,0
Wirtschaft,wirt,ADJ.,51753,0
Wirtschaft,wirten,VVINF,51753,0
Freundschaft,Freund,NN,16055,126148
Freundschaft,Freunde,NN,16055,0
Freundschaft,freund,ADJ.,16055,4060
Freundschaft,freunden,VVINF,16055,519
Mannschaft,Mann,NN,78525,214056
Mannschaft,Manne,NN,78525,0
Mannschaft,mann,ADJ.,78525,0
Mannschaft,mannen,VVINF,78525,0
Gesellschaft,Gesell,NN,104466,484
Gesellschaft,Geselle,NN,104466,2247
Gesellschaft,gesell,ADJ.,104466,0
Gesellschaft,gesellen,VVINF,104466,236
Kundschaft,Kund,NN,2438,0
Kundschaft,Kunde,NN,2438,137131
Kundschaft,kund,ADJ.,2438,0
Kundschaft,kunden,VVINF,2438,7
Wissenschaft,Wissen,NN,36912,61238
Wissenschaft,Wissene,NN,36912,0
Wissenschaft,wissen,ADJ.,36912,0
Wissenschaft,wissenen,VVINF,36912,0
Wissenschaft,Wisse,NN,36912,0
Wissenschaft,Wiss,NN,36912,0
Gemeinschaft,Gemein,NN,25319,0
Gemeinschaft,Gemeine,NN,25319,321
Gemeinschaft,gemein,ADJ.,25319,8798
Gemeinschaft,gemeinen,VVINF,25319,0
Fachschaft,Fach,NN,1613,25054
Fachschaft,Fache,NN,1613,0
Fachschaft,fach,ADJ.,1613,0
Fachschaft,fachen,VVINF,1613,60
Meisterschaft,Meister,NN,13338,27131
Meisterschaft,Meistere,NN,13338,0
Meisterschaft,meister,ADJ.,13338,0
Meisterschaft,meisteren,VVINF,13338,0
Meisterschaft,meistern,VVINF,13338,3712
Bereitschaft,Bereit,NN,9276,0
Bereitschaft,Bereite,NN,9276,195
Bereitschaft,bereit,ADJ.,9276,39611
Bereitschaft,bereiten,VVINF,9276,3785
Landschaft,Land,NN,28018,246657
Landschaft,Lande,NN,28018,0
Landschaft,land,ADJ.,28018,0
Landschaft,landen,VVINF,28018,5440
Eigenschaft,Eigen,NN,32245,1978
Eigenschaft,Eigene,NN,32245,1081
Eigenschaft,eigen,ADJ.,32245,356723
Eigenschaft,eigenen,VVINF,32245,0
Eigenschaft,Eige,NN,32245,0
Eigenschaft,Eig,NN,32245,0
Leserschaft,Leser,NN,1697,44919
Leserschaft,Lesere,NN,1697,0
Leserschaft,leser,ADJ.,1697,0
Leserschaft,leseren,VVINF,1697,0
Leserschaft,lesern,VVINF,1697,0
Botschaft,Bot,NN,21345,2061
Botschaft,Bote,NN,21345,3507
Botschaft,bot,ADJ.,21345,0
Botschaft,boten,VVINF,21345,0
Körperschaft,Körper,NN,2486,79352
Körperschaft,Körpere,NN,2486,0
Körperschaft,körper,ADJ.,2486,0
Körperschaft,körperen,VVINF,2486,0
Körperschaft,körpern,VVINF,2486,0
Partnerschaft,Partner,NN,12655,64147
Partnerschaft,Partnere,NN,12655,0
Partnerschaft,partner,ADJ.,12655,0
Partnerschaft,partneren,VVINF,12655,0
Partnerschaft,partnern,VVINF,12655,0
Leidenschaft,Leiden,NN,12396,9824
Leidenschaft,Leidene,NN,12396,0
Leidenschaft,leiden,ADJ.,12396,0
Leidenschaft,leidenen,VVINF,12396,0
Leidenschaft,Leide,NN,12396,0
Leidenschaft,Leid,NN,12396,12182
Mitgliedschaft,Mitglied,NN,11358,136357
Mitgliedschaft,Mitgliede,NN,11358,0
Mitgliedschaft,mitglied,ADJ.,11358,0
Mitgliedschaft,mitglieden,VVINF,11358,0
Wählerschaft,Wähler,NN,434,10207
Wählerschaft,Wählere,NN,434,0
Wählerschaft,wähler,ADJ.,434,0
Wählerschaft,wähleren,VVINF,434,0
Wählerschaft,wählern,VVINF,434,0
Genossenschaft,Genossen,NN,2905,0
Genossenschaft,Genossene,NN,2905,2
Genossenschaft,genossen,ADJ.,2905,103
Genossenschaft,genossenen,VVINF,2905,0
Genossenschaft,Genosse,NN,2905,4174
Genossenschaft,Genoss,NN,2905,0
Landwirtschaft,Landwirt,NN,15554,7537
Landwirtschaft,Landwirte,NN,15554,0
Landwirtschaft,landwirt,ADJ.,15554,0
Landwirtschaft,landwirten,VVINF,15554,0
Vormundschaft,Vormund,NN,338,643
Vormundschaft,Vormunde,NN,338,0
Vormundschaft,vormund,ADJ.,338,0
Vormundschaft,vormunden,VVINF,338,0
Gewerkschaft,Gewerk,NN,13853,1162
Gewerkschaft,Gewerke,NN,13853,0
Gewerkschaft,gewerk,ADJ.,13853,0
Gewerkschaft,gewerken,VVINF,13853,0
Bürgerschaft,Bürger,NN,2629,61088
Bürgerschaft,Bürgere,NN,2629,0
